"analysis_id","run_id","video_name","camera_name","start_time","end_time","total_people","in_count","out_count","male_count","female_count","unknown_gender_count","adult_count","minor_count","unknown_age_count","detection_method","line_position","analysis_time"
78,1,"A4-20250601-050000-055959.mp4","A4",2025/6/1 5:00:00,2025/6/1 5:59:59,21,11,10,11,9,1,11,9,1,"horizontal_a",0.50,2025/6/1 9:53:10
79,1,"A4-20250601-060000-065959.mp4","A4",2025/6/1 6:00:00,2025/6/1 6:59:59,23,12,11,12,10,1,12,10,1,"horizontal_a",0.50,2025/6/1 9:55:00
80,1,"A4-20250601-070000-075959.mp4","A4",2025/6/1 7:00:00,2025/6/1 7:59:59,25,13,12,13,11,1,13,11,1,"horizontal_a",0.50,2025/6/1 9:56:50
81,1,"A4-20250601-080000-085959.mp4","A4",2025/6/1 8:00:00,2025/6/1 8:59:59,27,14,13,14,12,1,14,12,1,"horizontal_a",0.50,2025/6/1 9:58:40
82,1,"A4-20250601-090000-095959.mp4","A4",2025/6/1 9:00:00,2025/6/1 9:59:59,29,15,14,15,13,1,15,13,1,"horizontal_a",0.50,2025/6/1 10:00:30
83,1,"A4-20250601-100000-105959.mp4","A4",2025/6/1 10:00:00,2025/6/1 10:59:59,31,16,15,16,14,1,16,14,1,"horizontal_a",0.50,2025/6/1 10:02:20
84,1,"A4-20250601-110000-115959.mp4","A4",2025/6/1 11:00:00,2025/6/1 11:59:59,33,17,16,17,15,1,17,15,1,"horizontal_a",0.50,2025/6/1 10:04:10
85,1,"A4-20250601-120000-125959.mp4","A4",2025/6/1 12:00:00,2025/6/1 12:59:59,35,18,17,18,16,1,18,16,1,"horizontal_a",0.50,2025/6/1 10:06:00
86,1,"A4-20250601-130000-135959.mp4","A4",2025/6/1 13:00:00,2025/6/1 13:59:59,37,19,18,19,17,1,19,17,1,"horizontal_a",0.50,2025/6/1 10:07:50
87,1,"A4-20250601-140000-145959.mp4","A4",2025/6/1 14:00:00,2025/6/1 14:59:59,39,20,19,20,18,1,20,18,1,"horizontal_a",0.50,2025/6/1 10:09:40
88,1,"A4-20250601-150000-155959.mp4","A4",2025/6/1 15:00:00,2025/6/1 15:59:59,41,21,20,21,19,1,21,19,1,"horizontal_a",0.50,2025/6/1 10:11:30
89,1,"A4-20250601-160000-165959.mp4","A4",2025/6/1 16:00:00,2025/6/1 16:59:59,43,22,21,22,20,1,22,20,1,"horizontal_a",0.50,2025/6/1 10:13:20
90,1,"A4-20250601-170000-175959.mp4","A4",2025/6/1 17:00:00,2025/6/1 17:59:59,45,23,22,23,21,1,23,21,1,"horizontal_a",0.50,2025/6/1 10:15:10
91,1,"A4-20250601-180000-185959.mp4","A4",2025/6/1 18:00:00,2025/6/1 18:59:59,47,24,23,24,22,1,24,22,1,"horizontal_a",0.50,2025/6/1 10:17:00
92,1,"A4-20250601-190000-195959.mp4","A4",2025/6/1 19:00:00,2025/6/1 19:59:59,49,25,24,25,23,1,25,23,1,"horizontal_a",0.50,2025/6/1 10:18:50
93,1,"A4-20250601-200000-205959.mp4","A4",2025/6/1 20:00:00,2025/6/1 20:59:59,51,26,25,26,24,1,26,24,1,"horizontal_a",0.50,2025/6/1 10:20:40
94,1,"A4-20250601-210000-215959.mp4","A4",2025/6/1 21:00:00,2025/6/1 21:59:59,53,27,26,27,25,1,27,25,1,"horizontal_a",0.50,2025/6/1 10:22:30
95,1,"A4-20250601-220000-225959.mp4","A4",2025/6/1 22:00:00,2025/6/1 22:59:59,55,28,27,28,26,1,28,26,1,"horizontal_a",0.50,2025/6/1 10:24:20
96,1,"A4-20250601-230000-235959.mp4","A4",2025/6/1 23:00:00,2025/6/1 23:59:59,57,29,28,29,27,1,29,27,1,"horizontal_a",0.50,2025/6/1 10:26:10
97,1,"A5-20250601-000000-005959.mp4","A5",2025/6/1 0:00:00,2025/6/1 0:59:59,13,7,6,7,5,1,7,5,1,"horizontal_a",0.50,2025/6/1 9:44:00
98,1,"A5-20250601-010000-015959.mp4","A5",2025/6/1 1:00:00,2025/6/1 1:59:59,15,8,7,8,6,1,8,6,1,"horizontal_a",0.50,2025/6/1 9:45:50
99,1,"A5-20250601-020000-025959.mp4","A5",2025/6/1 2:00:00,2025/6/1 2:59:59,17,9,8,9,7,1,9,7,1,"horizontal_a",0.50,2025/6/1 9:47:40
100,1,"A5-20250601-030000-035959.mp4","A5",2025/6/1 3:00:00,2025/6/1 3:59:59,19,10,9,10,8,1,10,8,1,"horizontal_a",0.50,2025/6/1 9:49:30
101,1,"A5-20250601-040000-045959.mp4","A5",2025/6/1 4:00:00,2025/6/1 4:59:59,21,11,10,11,9,1,11,9,1,"horizontal_a",0.50,2025/6/1 9:51:20
102,1,"A5-20250601-050000-055959.mp4","A5",2025/6/1 5:00:00,2025/6/1 5:59:59,23,12,11,12,10,1,12,10,1,"horizontal_a",0.50,2025/6/1 9:53:10
103,1,"A5-20250601-060000-065959.mp4","A5",2025/6/1 6:00:00,2025/6/1 6:59:59,25,13,12,13,11,1,13,11,1,"horizontal_a",0.50,2025/6/1 9:55:00
104,1,"A5-20250601-070000-075959.mp4","A5",2025/6/1 7:00:00,2025/6/1 7:59:59,27,14,13,14,12,1,14,12,1,"horizontal_a",0.50,2025/6/1 9:56:50
105,1,"A5-20250601-080000-085959.mp4","A5",2025/6/1 8:00:00,2025/6/1 8:59:59,29,15,14,15,13,1,15,13,1,"horizontal_a",0.50,2025/6/1 9:58:40
106,1,"A5-20250601-090000-095959.mp4","A5",2025/6/1 9:00:00,2025/6/1 9:59:59,31,16,15,16,14,1,16,14,1,"horizontal_a",0.50,2025/6/1 10:00:30
107,1,"A5-20250601-100000-105959.mp4","A5",2025/6/1 10:00:00,2025/6/1 10:59:59,33,17,16,17,15,1,17,15,1,"horizontal_a",0.50,2025/6/1 10:02:20
108,1,"A5-20250601-110000-115959.mp4","A5",2025/6/1 11:00:00,2025/6/1 11:59:59,35,18,17,18,16,1,18,16,1,"horizontal_a",0.50,2025/6/1 10:04:10
109,1,"A5-20250601-120000-125959.mp4","A5",2025/6/1 12:00:00,2025/6/1 12:59:59,37,19,18,19,17,1,19,17,1,"horizontal_a",0.50,2025/6/1 10:06:00
110,1,"A5-20250601-130000-135959.mp4","A5",2025/6/1 13:00:00,2025/6/1 13:59:59,39,20,19,20,18,1,20,18,1,"horizontal_a",0.50,2025/6/1 10:07:50
111,1,"A5-20250601-140000-145959.mp4","A5",2025/6/1 14:00:00,2025/6/1 14:59:59,41,21,20,21,19,1,21,19,1,"horizontal_a",0.50,2025/6/1 10:09:40
112,1,"A5-20250601-150000-155959.mp4","A5",2025/6/1 15:00:00,2025/6/1 15:59:59,43,22,21,22,20,1,22,20,1,"horizontal_a",0.50,2025/6/1 10:11:30
113,1,"A5-20250601-160000-165959.mp4","A5",2025/6/1 16:00:00,2025/6/1 16:59:59,45,23,22,23,21,1,23,21,1,"horizontal_a",0.50,2025/6/1 10:13:20
114,1,"A5-20250601-170000-175959.mp4","A5",2025/6/1 17:00:00,2025/6/1 17:59:59,47,24,23,24,22,1,24,22,1,"horizontal_a",0.50,2025/6/1 10:15:10
115,1,"A5-20250601-180000-185959.mp4","A5",2025/6/1 18:00:00,2025/6/1 18:59:59,49,25,24,25,23,1,25,23,1,"horizontal_a",0.50,2025/6/1 10:17:00
116,1,"A5-20250601-190000-195959.mp4","A5",2025/6/1 19:00:00,2025/6/1 19:59:59,51,26,25,26,24,1,26,24,1,"horizontal_a",0.50,2025/6/1 10:18:50
117,1,"A5-20250601-200000-205959.mp4","A5",2025/6/1 20:00:00,2025/6/1 20:59:59,53,27,26,27,25,1,27,25,1,"horizontal_a",0.50,2025/6/1 10:20:40
118,1,"A5-20250601-210000-215959.mp4","A5",2025/6/1 21:00:00,2025/6/1 21:59:59,55,28,27,28,26,1,28,26,1,"horizontal_a",0.50,2025/6/1 10:22:30
119,1,"A5-20250601-220000-225959.mp4","A5",2025/6/1 22:00:00,2025/6/1 22:59:59,57,29,28,29,27,1,29,27,1,"horizontal_a",0.50,2025/6/1 10:24:20
120,1,"A5-20250601-230000-235959.mp4","A5",2025/6/1 23:00:00,2025/6/1 23:59:59,59,30,29,30,28,1,30,28,1,"horizontal_a",0.50,2025/6/1 10:26:10
121,1,"A6-20250601-000000-005959.mp4","A6",2025/6/1 0:00:00,2025/6/1 0:59:59,15,8,7,8,6,1,8,6,1,"horizontal_a",0.50,2025/6/1 9:44:00
122,1,"A6-20250601-010000-015959.mp4","A6",2025/6/1 1:00:00,2025/6/1 1:59:59,17,9,8,9,7,1,9,7,1,"horizontal_a",0.50,2025/6/1 9:45:50
123,1,"A6-20250601-020000-025959.mp4","A6",2025/6/1 2:00:00,2025/6/1 2:59:59,19,10,9,10,8,1,10,8,1,"horizontal_a",0.50,2025/6/1 9:47:40
124,1,"A6-20250601-030000-035959.mp4","A6",2025/6/1 3:00:00,2025/6/1 3:59:59,21,11,10,11,9,1,11,9,1,"horizontal_a",0.50,2025/6/1 9:49:30
125,1,"A6-20250601-040000-045959.mp4","A6",2025/6/1 4:00:00,2025/6/1 4:59:59,23,12,11,12,10,1,12,10,1,"horizontal_a",0.50,2025/6/1 9:51:20
126,1,"A6-20250601-050000-055959.mp4","A6",2025/6/1 5:00:00,2025/6/1 5:59:59,25,13,12,13,11,1,13,11,1,"horizontal_a",0.50,2025/6/1 9:53:10
127,1,"A6-20250601-060000-065959.mp4","A6",2025/6/1 6:00:00,2025/6/1 6:59:59,27,14,13,14,12,1,14,12,1,"horizontal_a",0.50,2025/6/1 9:55:00
128,1,"A6-20250601-070000-075959.mp4","A6",2025/6/1 7:00:00,2025/6/1 7:59:59,29,15,14,15,13,1,15,13,1,"horizontal_a",0.50,2025/6/1 9:56:50
129,1,"A6-20250601-080000-085959.mp4","A6",2025/6/1 8:00:00,2025/6/1 8:59:59,31,16,15,16,14,1,16,14,1,"horizontal_a",0.50,2025/6/1 9:58:40
130,1,"A6-20250601-090000-095959.mp4","A6",2025/6/1 9:00:00,2025/6/1 9:59:59,33,17,16,17,15,1,17,15,1,"horizontal_a",0.50,2025/6/1 10:00:30
131,1,"A6-20250601-100000-105959.mp4","A6",2025/6/1 10:00:00,2025/6/1 10:59:59,35,18,17,18,16,1,18,16,1,"horizontal_a",0.50,2025/6/1 10:02:20
132,1,"A6-20250601-110000-115959.mp4","A6",2025/6/1 11:00:00,2025/6/1 11:59:59,37,19,18,19,17,1,19,17,1,"horizontal_a",0.50,2025/6/1 10:04:10
133,1,"A6-20250601-120000-125959.mp4","A6",2025/6/1 12:00:00,2025/6/1 12:59:59,39,20,19,20,18,1,20,18,1,"horizontal_a",0.50,2025/6/1 10:06:00
134,1,"A6-20250601-130000-135959.mp4","A6",2025/6/1 13:00:00,2025/6/1 13:59:59,41,21,20,21,19,1,21,19,1,"horizontal_a",0.50,2025/6/1 10:07:50
135,1,"A6-20250601-140000-145959.mp4","A6",2025/6/1 14:00:00,2025/6/1 14:59:59,43,22,21,22,20,1,22,20,1,"horizontal_a",0.50,2025/6/1 10:09:40
136,1,"A6-20250601-150000-155959.mp4","A6",2025/6/1 15:00:00,2025/6/1 15:59:59,45,23,22,23,21,1,23,21,1,"horizontal_a",0.50,2025/6/1 10:11:30
137,1,"A6-20250601-160000-165959.mp4","A6",2025/6/1 16:00:00,2025/6/1 16:59:59,47,24,23,24,22,1,24,22,1,"horizontal_a",0.50,2025/6/1 10:13:20
138,1,"A6-20250601-170000-175959.mp4","A6",2025/6/1 17:00:00,2025/6/1 17:59:59,49,25,24,25,23,1,25,23,1,"horizontal_a",0.50,2025/6/1 10:15:10
139,1,"A6-20250601-180000-185959.mp4","A6",2025/6/1 18:00:00,2025/6/1 18:59:59,55,27,26,28,21,8,26,24,5,"horizontal_a",0.50,2025/6/1 10:17:00
140,1,"A6-20250601-190000-195959.mp4","A6",2025/6/1 19:00:00,2025/6/1 19:59:59,53,27,26,27,25,1,27,25,1,"horizontal_a",0.50,2025/6/1 10:18:50
141,1,"A6-20250601-200000-205959.mp4","A6",2025/6/1 20:00:00,2025/6/1 20:59:59,55,28,27,28,26,1,28,26,1,"horizontal_a",0.50,2025/6/1 10:20:40
142,1,"A6-20250601-210000-215959.mp4","A6",2025/6/1 21:00:00,2025/6/1 21:59:59,57,29,28,29,27,1,29,27,1,"horizontal_a",0.50,2025/6/1 10:22:30
143,1,"A6-20250601-220000-225959.mp4","A6",2025/6/1 22:00:00,2025/6/1 22:59:59,59,30,29,30,28,1,30,28,1,"horizontal_a",0.50,2025/6/1 10:24:20
144,1,"A6-20250601-230000-235959.mp4","A6",2025/6/1 23:00:00,2025/6/1 23:59:59,61,31,30,31,29,1,31,29,1,"horizontal_a",0.50,2025/6/1 10:26:10
145,1,"A7-20250601-000000-005959.mp4","A7",2025/6/1 0:00:00,2025/6/1 0:59:59,17,9,8,9,7,1,9,7,1,"horizontal_a",0.50,2025/6/1 9:44:00
146,1,"A7-20250601-010000-015959.mp4","A7",2025/6/1 1:00:00,2025/6/1 1:59:59,19,10,9,10,8,1,10,8,1,"horizontal_a",0.50,2025/6/1 9:45:50
147,1,"A7-20250601-020000-025959.mp4","A7",2025/6/1 2:00:00,2025/6/1 2:59:59,21,11,10,11,9,1,11,9,1,"horizontal_a",0.50,2025/6/1 9:47:40
